Zone,Line name ,Station,City council
1,Sandringham line,Gardenvale,Glen Eira C  
1,Sandringham line,Elsternwick,Glen Eira C  
1,Sandringham line,Ripponlea,Port Phillip C  
1,Sandringham line,Balaclava,Port Phillip C  
1,Sandringham line,Windsor,Port Phillip C  
1,Sandringham line,Prahran,Melbourne C  
1,Sandringham line,South Yarra,Melbourne C  
1,Sandringham line,Richmond,Yarra C  
1,Sandringham line,Flinders Street,Melbourne C  
1,Sandringham line,Southern Cross,Melbourne C  
1,Sandringham line,Flagstaff,Melbourne C  
1,Sandringham line,Melbourne Central,Melbourne C  
1,Sandringham line,Parliament,Melbourne C  
2,Stony Point line,Stony Point,Mornington Peninsula S  
2,Stony Point line,Crib Point,Mornington Peninsula S  
2,Stony Point line,Morradoo,Mornington Peninsula S  
2,Stony Point line,Bittern,Mornington Peninsula S  
2,Stony Point line,Hastings,Mornington Peninsula S  
2,Stony Point line,Tyabb,Mornington Peninsula S  
2,Stony Point line,Somerville,Mornington Peninsula S  
2,Stony Point line,Baxter,Mornington Peninsula S  
2,Stony Point line,Leawarra,Frankston C  
2,Stony Point line,Frankston,Frankston C  
2,Upfield line,Upfield,Hume C  
2,Upfield line,Gowrie,Merri-Bec
1&2,Upfield line,Fawkner,Merri-Bec
1&2,Upfield line,Merlynston,Merri-Bec
1&2,Upfield line,Batman,Merri-Bec
1,Upfield line,Coburg,Merri-Bec
1,Upfield line,Moreland,Merri-Bec
1,Upfield line,Anstey,Merri-Bec
1,Upfield line,Brunswick,Merri-Bec
1,Upfield line,Jewell,Merri-Bec
1,Upfield line,Royal Park,Melbourne C  
1,Upfield line,Flemington Bridge,Moonee Valley C  
1,Upfield line,Macaulay,Melbourne C  
1,Upfield line,North Melbourne,Melbourne C  
1,Upfield line,Melbourne Central,Melbourne C  
1,Upfield line,Flagstaff,Melbourne C  
1,Upfield line,Parliament,Melbourne C  
1,Upfield line,Flinders Street,Melbourne C  
1,Upfield line,Southern Cross,Melbourne C  
2,Werribee line,Werribee,Wyndham C  
2,Werribee line,Hoppers Crossing,Wyndham C  
2,Werribee line,Williams Landing,Wyndham C  
2,Werribee line,Aircraft,Hobsons Bay C  
1&2,Werribee line,Laverton,Hobsons Bay C  
1&2,Werribee line,Westona,Hobsons Bay C  
1&2,Werribee line,Altona,Hobsons Bay C  
1,Werribee line,Seaholme,Hobsons Bay C  
1,Werribee line,Newport,Hobsons Bay C  
1,Werribee line,Spotswood,Hobsons Bay C  
1,Werribee line,Yarraville,Maribyrnong C  
1,Werribee line,Seddon,Maribyrnong C  
1,Werribee line,Footscray,Maribyrnong C  
1,Werribee line,South Kensington,Melbourne C  
1,Werribee line,North Melbourne,Melbourne C  
1,Werribee line,Flagstaff,Melbourne C  
1,Werribee line,Melbourne Central,Melbourne C  
1,Werribee line,Parliament,Melbourne C  
1,Werribee line,Southern Cross,Melbourne C  
1,Williamstown line,Williamstown,Hobsons Bay C  
1,Williamstown line,Williamstown Beach,Hobsons Bay C  
1,Williamstown line,North Williamstown,Hobsons Bay C  
1,Williamstown line,Newport,Hobsons Bay C  
1,Williamstown line,Spotswood,Hobsons Bay C  
1,Williamstown line,Yarraville,Maribyrnong C  
1,Williamstown line,Seddon,Maribyrnong C  
1,Williamstown line,Footscray,Maribyrnong C  
1,Williamstown line,South Kensington,Melbourne C  
1,Williamstown line,North Melbourne,Melbourne C  
1,Williamstown line,Flagstaff,Melbourne C  
1,Williamstown line,Melbourne Central,Melbourne C  
1,Williamstown line,Parliament,Melbourne C  
1,Williamstown line,Southern Cross,Melbourne C  
1,Williamstown line,Flinders Street,Melbourne C  
