With train,City Council_format2,City council,Year,House Number of Sales,Unit/Apartment Number of Sales,Vacant House Number of Sales,Total Number of Sales
No,Melton City,Melton C  ,2018,2425,290,3835,6550
No,Melton City,Melton C  ,2019,2197,261,2299,4757
No,Melton City,Melton C  ,2020,2243,209,4871,7323
No,Melton City,Melton C  ,2021,3411,324,4008,7743
No,Mildura Rural City,Mildura Rural C  ,2018,938,153,244,1335
No,Mildura Rural City,Mildura Rural C  ,2019,895,146,254,1295
No,Mildura Rural City,Mildura Rural C  ,2020,935,144,389,1468
No,Mildura Rural City,Mildura Rural C  ,2021,1106,224,236,1566
No,Mitchell Shire,Mitchell S  ,2018,680,75,677,1432
No,Mitchell Shire,Mitchell S  ,2019,550,71,346,967
No,Mitchell Shire,Mitchell S  ,2020,582,65,870,1517
No,Mitchell Shire,Mitchell S  ,2021,814,115,944,1873
No,Moira Shire,Moira S  ,2018,499,106,174,779
No,Moira Shire,Moira S  ,2019,410,81,196,687
No,Moira Shire,Moira S  ,2020,462,99,233,794
No,Moira Shire,Moira S  ,2021,601,94,281,976
Yes,Monash City,Monash C  ,2018,1671,1445,25,3141
Yes,Monash City,Monash C  ,2019,1727,1257,22,3006
Yes,Monash City,Monash C  ,2020,1338,1169,31,2538
Yes,Monash City,Monash C  ,2021,2149,1685,31,3865
Yes,Moonee Valley City,Moonee Valley C  ,2018,1212,1137,20,2369
Yes,Moonee Valley City,Moonee Valley C  ,2019,1186,1129,25,2340
Yes,Moonee Valley City,Moonee Valley C  ,2020,1108,831,31,1970
Yes,Moonee Valley City,Moonee Valley C  ,2021,1774,1229,26,3029
No,Moorabool Shire,Moorabool S  ,2018,474,79,426,979
No,Moorabool Shire,Moorabool S  ,2019,437,62,240,739
No,Moorabool Shire,Moorabool S  ,2020,431,70,315,816
No,Moorabool Shire,Moorabool S  ,2021,599,92,120,811
No,Merri-Bec,Merri-Bec  ,2018,1543,1975,29,3547
No,Merri-Bec,Merri-Bec  ,2019,1451,1895,12,3358
No,Merri-Bec,Merri-Bec  ,2020,1276,1644,30,2950
No,Merri-Bec,Merri-Bec  ,2021,1894,2458,20,4372
Yes,Mornington Peninsula Shire,Mornington Peninsula S  ,2018,3262,826,280,4368
Yes,Mornington Peninsula Shire,Mornington Peninsula S  ,2019,3282,737,254,4273
Yes,Mornington Peninsula Shire,Mornington Peninsula S  ,2020,3375,787,397,4559
Yes,Mornington Peninsula Shire,Mornington Peninsula S  ,2021,4129,1149,307,5585
No,Mount Alexander Shire,Mount Alexander S  ,2018,275,33,174,482
No,Mount Alexander Shire,Mount Alexander S  ,2019,288,23,110,421
No,Mount Alexander Shire,Mount Alexander S  ,2020,301,23,161,485
No,Mount Alexander Shire,Mount Alexander S  ,2021,328,32,104,464
No,Moyne Shire,Moyne S  ,2018,190,23,70,283
No,Moyne Shire,Moyne S  ,2019,201,19,58,278
No,Moyne Shire,Moyne S  ,2020,198,13,82,293
No,Moyne Shire,Moyne S  ,2021,198,21,50,269
No,Murrindindi Shire,Murrindindi S  ,2018,199,17,68,284
No,Murrindindi Shire,Murrindindi S  ,2019,159,14,51,224
No,Murrindindi Shire,Murrindindi S  ,2020,181,11,98,290
No,Murrindindi Shire,Murrindindi S  ,2021,231,13,79,323
Yes,Nillumbik Shire,Nillumbik S  ,2018,464,191,62,717
Yes,Nillumbik Shire,Nillumbik S  ,2019,594,185,71,850
Yes,Nillumbik Shire,Nillumbik S  ,2020,472,126,119,717
Yes,Nillumbik Shire,Nillumbik S  ,2021,693,188,111,992
No,Northern Grampians Shire,Northern Grampians S  ,2018,206,10,25,241
No,Northern Grampians Shire,Northern Grampians S  ,2019,224,16,25,265
