Trip_ID,Person_ID,Year,Total_Stops,Trip_Count,Start_Time,Arrival_Time,Trip_Time,Travel_Time,Wait_Time,Duration,Total_Distance,Original_Place_1,Original_Place_2,Original_Purpose_1,Original_Purpose_2,Destination_1,Destination_2,Dest_Purpose_1,Dest_Purpose_2,Starting_LGA,Ending_LGA,Trip_Purpose,Link_Mode,Dist_1,Dist_2,Dist_3,Dist_4,Dist_5,Dist_6,Dist_7,Mode_1,Mode_2,Mode_3,Mode_4,Mode_5,Mode_6,Mode_7,Time_1,Time_2,Time_3,Time_4,Time_5,Time_6,Time_7
Y18H3070201P01T02,Y18H3070201P01,2018,5,2,1110,1210,100,100,0,0.0,35.87,Recreational Place,Sport Ground or Oval,Recreational,Participated in sport,Accommodation,Survey Home,At or Go Home,Go home,Melbourne (C),Greater Dandenong (C),Change Mode,Train,0.85,9.01,14.63,10.06,1.32,0.0,0.0,Walking,Train,Public Bus,Train,Walking,0,0,10,25.0,15.0,20.0,30.0,0.0,0.0
Y18H3070314P02T01,Y18H3070314P02,2018,5,1,545,587,42,39,3,261.0,10.65,Accommodation,Survey Home,At Home,At home,Workplace,Workplace NEC,Work Related,Own Workplace,Melbourne (C),Glen Eira (C),Work Related,Train,0.63,1.21,0.1,8.63,0.09,0.0,0.0,Walking,Tram,Walking,Train,Walking,0,0,8,8.0,5.0,16.0,2.0,0.0,0.0
Y18H3070314P02T02,Y18H3070314P02,2018,3,2,848,870,22,10,12,9.0,1.78,Workplace,Workplace NEC,Work Related,Own Workplace,Shops,Fast Food,Social,Ate or drank,Glen Eira (C),Glen Eira (C),Social,Train,0.09,1.64,0.05,0.0,0.0,0.0,0.0,Walking,Train,Walking,0,0,0,0,5,4.0,1.0,0.0,0.0,0.0,0.0
Y18H3070502P01T01,Y18H3070502P01,2018,3,1,345,405,60,60,0,495.0,38.9,Accommodation,Survey Home,At Home,At home,Workplace,My Workplace,Work Related,Own Workplace,Melton (C),Maribyrnong (C),Work Related,Train,0.59,37.25,1.07,0.0,0.0,0.0,0.0,Walking,Train,Walking,0,0,0,0,10,35.0,15.0,0.0,0.0,0.0,0.0
Y18H3070502P01T02,Y18H3070502P01,2018,3,2,900,965,65,65,0,0.0,38.9,Workplace,My Workplace,Work Related,Own Workplace,Accommodation,Survey Home,At or Go Home,Go home,Maribyrnong (C),Melton (C),Change Mode,Train,1.07,37.25,0.59,0.0,0.0,0.0,0.0,Walking,Train,Walking,0,0,0,0,15,40.0,10.0,0.0,0.0,0.0,0.0
Y18H3080225P02T01,Y18H3080225P02,2018,3,1,450,550,100,90,10,470.0,60.81,Accommodation,Survey Home,At Home,At home,Workplace,My Workplace,Work Related,Own Workplace,Cardinia (S),Melbourne (C),Work Related,Train,7.45,52.31,1.05,0.0,0.0,0.0,0.0,Vehicle Driver,Train,Walking,0,0,0,0,7,60.0,23.0,0.0,0.0,0.0,0.0
Y18H3080225P02T02,Y18H3080225P02,2018,3,2,1020,1130,110,95,15,0.0,60.26,Workplace,My Workplace,Work Related,Own Workplace,Accommodation,Survey Home,At or Go Home,Go home,Melbourne (C),Cardinia (S),Change Mode,Train,0.63,52.22,7.41,0.0,0.0,0.0,0.0,Walking,Train,Vehicle Driver,0,0,0,0,10,70.0,15.0,0.0,0.0,0.0,0.0
Y18H3080319P02T03,Y18H3080319P02,2018,6,3,536,650,114,77,37,425.0,33.3,Accommodation,Survey Home,At Home,At home,Workplace,My Workplace,Work Related,Own Workplace,Knox (C),Yarra (C),Work Related,Train,0.31,4.03,27.0,0.3,1.48,0.18,0.0,Walking,Public Bus,Train,Walking,Tram,Walking,0,6,12.0,44.0,5.0,7.0,3.0,0.0
Y18H3080319P02T06,Y18H3080319P02,2018,4,6,1345,1455,110,77,33,0.0,32.64,Social Place,Pub or Bar,Social,Ate or drank,Accommodation,Survey Home,At or Go Home,Go home,Melbourne (C),Knox (C),Change Mode,Train,0.58,28.09,3.67,0.29,0.0,0.0,0.0,Walking,Train,Public Bus,Walking,0,0,0,13,44.0,13.0,7.0,0.0,0.0,0.0
Y18H3080326P02T01,Y18H3080326P02,2018,3,1,425,480,55,55,0,252.0,9.85,Accommodation,Survey Home,At Home,At home,Workplace,My Workplace,Work Related,Own Workplace,Whitehorse (C),Boroondara (C),Work Related,Train,0.9,8.68,0.27,0.0,0.0,0.0,0.0,Walking,Train,Walking,0,0,0,0,28,22.0,5.0,0.0,0.0,0.0,0.0
Y18H3080326P02T02,Y18H3080326P02,2018,5,2,732,778,46,39,7,82.0,15.08,Workplace,My Workplace,Work Related,Own Workplace,Place of Personal Business,Health Service,Social,Visited someone,Boroondara (C),Melbourne (C),Social,Train,0.27,9.73,0.09,4.34,0.64,0.0,0.0,Walking,Train,Walking,Tram,Walking,0,0,2,22.0,1.0,10.0,4.0,0.0,0.0
Y18H3080326P03T01,Y18H3080326P03,2018,5,1,470,518,48,46,2,527.0,21.1,Accommodation,Survey Home,At Home,At home,Workplace,My Workplace,Work Related,Own Workplace,Whitehorse (C),Melbourne (C),Work Related,Train,0.9,18.83,0.12,1.1,0.14,0.0,0.0,Walking,Train,Walking,Tram,Walking,0,0,10,26.0,2.0,4.0,4.0,0.0,0.0
Y18H3080326P03T03,Y18H3080326P03,2018,3,3,1200,1255,55,49,6,0.0,19.89,Place of Personal Business,Health Service,Social,Visited someone,Accommodation,Survey Home,At or Go Home,Go home,Melbourne (C),Whitehorse (C),Change Mode,Train,3.12,15.87,0.9,0.0,0.0,0.0,0.0,Vehicle Passenger,Train,Walking,0,0,0,0,10,30.0,9.0,0.0,0.0,0.0,0.0
Y18H3080337P03T01,Y18H3080337P03,2018,3,1,480,540,60,53,7,480.0,20.82,Accommodation,Survey Home,At Home,At home,Place of Education,Tertiary,Education,At school,Whitehorse (C),Melbourne (C),Education,Train,1.09,19.54,0.19,0.0,0.0,0.0,0.0,Walking,Train,Walking,0,0,0,0,10,30.0,13.0,0.0,0.0,0.0,0.0
Y18H3080337P03T02,Y18H3080337P03,2018,3,2,1020,1060,40,40,0,0.0,20.83,Place of Education,Tertiary,Education,At school,Accommodation,Survey Home,At or Go Home,Go home,Melbourne (C),Whitehorse (C),Change Mode,Train,0.19,19.54,1.09,0.0,0.0,0.0,0.0,Walking,Train,Walking,0,0,0,0,5,25.0,10.0,0.0,0.0,0.0,0.0
Y18H3080402P02T01,Y18H3080402P02,2018,3,1,510,578,68,57,11,12.0,16.37,Accommodation,Survey Home,At Home,At home,Social Place,Restaurant or Cafe,Social,Ate or drank,Hume (C),Moreland (C),Social,Train,1.53,13.63,1.21,0.0,0.0,0.0,0.0,Walking,Train,Walking,0,0,0,0,15,19.0,23.0,0.0,0.0,0.0,0.0
Y18H3090104P02T01,Y18H3090104P02,2018,5,1,420,520,100,82,18,200.0,52.89,Accommodation,Survey Home,At Home,At home,Workplace,Workplace NEC,Work Related,Own Workplace,Frankston (C),Boroondara (C),Work Related,Train,0.81,4.23,42.55,4.89,0.41,0.0,0.0,Walking,Public Bus,Train,Train,Walking,0,0,12,8.0,51.0,10.0,1.0,0.0,0.0
Y18H3090104P02T04,Y18H3090104P02,2018,5,4,1030,1130,100,85,15,0.0,52.77,Workplace,Workplace NEC,Work Related,Own Workplace,Accommodation,Survey Home,At or Go Home,Go home,Boroondara (C),Frankston (C),Change Mode,Train,0.29,4.89,42.55,4.23,0.81,0.0,0.0,Walking,Train,Train,Public Bus,Walking,0,0,5,8.0,47.0,10.0,15.0,0.0,0.0
Y18H3090104P03T02,Y18H3090104P03,2018,3,2,967,1022,55,45,10,0.0,28.16,Workplace,Workplace NEC,Work Related,Own Workplace,Accommodation,Survey Home,At or Go Home,Go home,Kingston (C) (Vic.),Frankston (C),Change Mode,Train,1.27,22.37,4.52,0.0,0.0,0.0,0.0,Walking,Train,Vehicle Passenger,0,0,0,0,10,26.0,9.0,0.0,0.0,0.0,0.0
Y18H3090104P04T02,Y18H3090104P04,2018,3,2,455,500,45,35,10,430.0,18.4,Transport Feature,Car Park,Pick-up or Drop-off Someone,Someone picked-up or delivered,Place of Education,Secondary School,Education,At school,Greater Dandenong (C),Casey (C),Education,Train,0.87,15.88,1.65,0.0,0.0,0.0,0.0,Walking,Train,Walking,0,0,0,0,10,15.0,10.0,0.0,0.0,0.0,0.0
Y18H3090104P04T03,Y18H3090104P04,2018,4,3,930,1010,80,55,25,3.0,36.63,Place of Education,Secondary School,Education,At school,Transport Feature,Train Station,Pick-up or Drop-off Someone,Someone picked-up or delivered,Casey (C),Frankston (C),Pick-up or Drop-off Someone,Train,1.65,15.88,0.87,18.23,0.0,0.0,0.0,Walking,Train,Walking,Vehicle Driver,0,0,0,15,15.0,5.0,20.0,0.0,0.0,0.0
Y18H3090116P03T01,Y18H3090116P03,2018,5,1,390,500,110,101,9,550.0,46.4,Accommodation,Survey Home,At Home,At home,Workplace,Workplace NEC,Work Related,Own Workplace,Frankston (C),Cardinia (S),Work Related,Train,0.85,16.58,0.0,26.44,2.54,0.0,0.0,Walking,Public Bus,Walking,Train,Walking,0,0,13,32.0,2.0,24.0,30.0,0.0,0.0
Y18H3090116P03T02,Y18H3090116P03,2018,5,2,1050,1160,110,108,2,0.0,48.18,Workplace,Workplace NEC,Work Related,Own Workplace,Accommodation,Survey Home,At or Go Home,Go home,Cardinia (S),Frankston (C),Change Mode,Train,2.79,26.44,0.05,18.07,0.85,0.0,0.0,Bicycle,Train,Walking,Public Bus,Walking,0,0,13,30.0,15.0,30.0,20.0,0.0,0.0
Y18H3090211P02T01,Y18H3090211P02,2018,5,1,548,720,172,131,41,335.0,58.43,Accommodation,Survey Home,At Home,At home,Accommodation,Someone Else's Home,Social,Visited someone,Casey (C),Yarra Ranges (S),Social,Train,3.37,13.22,24.14,17.39,0.31,0.0,0.0,Vehicle Passenger,Train,Public Bus,Public Bus,Walking,0,0,12,10.0,55.0,45.0,9.0,0.0,0.0
Y18H3090410P02T01,Y18H3090410P02,2018,5,1,375,453,78,74,4,661.0,39.59,Accommodation,Survey Home,At Home,At home,Workplace,Workplace NEC,Work Related,Own Workplace,Whittlesea (C),Melbourne (C),Work Related,Train,11.12,24.98,0.31,2.5,0.68,0.0,0.0,Vehicle Passenger,Train,Walking,Tram,Walking,0,0,15,23.0,11.0,15.0,10.0,0.0,0.0
Y18H3090410P02T02,Y18H3090410P02,2018,3,2,1114,1225,111,99,12,0.0,39.7,Workplace,Workplace NEC,Work Related,Own Workplace,Accommodation,Survey Home,At or Go Home,Go home,Melbourne (C),Whittlesea (C),Change Mode,Train,2.64,24.98,12.09,0.0,0.0,0.0,0.0,Walking,Train,Vehicle Passenger,0,0,0,0,54,30.0,15.0,0.0,0.0,0.0,0.0
